id,pred_label
20056,5
20057,3
20058,0
20059,2
20060,3
20061,3
20062,5
20064,3
20066,1
20067,1
20068,0
20069,1
20070,1
20071,0
20072,4
20073,3
20074,3
20075,1
20076,4
20077,4
20078,3
20079,1
20080,1
20081,4
20082,5
20083,3
20084,1
20085,0
20087,2
20088,1
20089,5
20090,1
20091,5
20092,2
20093,0
20094,3
20095,5
20096,3
20098,5
20099,4
20100,5
20106,4
20107,0
20108,5
20109,2
20111,2
20112,4
20113,3
20114,4
20115,4
20116,0
20117,5
20120,0
20123,0
20124,4
20126,1
20127,1
20129,0
20131,3
20133,0
20134,5
20136,5
20137,1
20138,4
20140,3
20142,2
20144,0
20147,5
20148,4
20150,5
20151,5
20152,1
20153,0
20154,0
20157,0
20158,1
20159,5
20160,0
20161,1
20162,1
20163,1
20164,2
20165,4
20166,5
20167,4
20168,4
20170,4
20171,4
20172,4
20173,5
20174,0
20175,5
20176,0
20177,3
20178,1
20179,2
20181,0
20183,1
20184,1
20185,4
20186,3
20187,2
20189,0
20190,4
20191,1
20194,1
20195,2
20198,2
20202,2
20204,2
20206,3
20207,3
20209,1
20210,2
20211,2
20212,4
20216,1
20218,3
20221,1
20222,1
20225,5
20226,0
20227,2
20228,3
20229,5
20230,2
20231,3
20232,0
20234,1
20236,4
20238,1
20240,4
20241,3
20242,5
20243,2
20245,3
20246,3
20247,4
20249,2
20250,3
20252,5
20253,2
20255,4
20256,4
20257,4
20259,1
20260,5
20261,5
20264,4
20265,4
20266,1
20267,4
20268,3
20269,4
20270,1
20271,0
20272,2
20273,4
20274,5
20275,2
20276,0
20277,0
20281,4
20282,0
20283,4
20285,4
20286,1
20287,2
20288,5
20289,4
20292,2
20293,1
20294,3
20296,1
20297,1
20299,5
20300,4
20303,2
20304,0
20305,4
20306,5
20307,2
20309,3
20310,2
20311,5
20313,4
20314,0
20315,5
20316,4
20317,2
20318,1
20319,5
20320,0
20322,5
20326,2
20327,0
20328,5
20329,2
20330,5
20331,1
20332,1
20333,4
20334,0
20335,1
20336,1
20337,1
20341,4
20342,4
20343,1
20344,3
20345,2
20346,1
20347,4
20348,1
20350,3
20352,2
20353,1
20355,2
20356,0
20357,1
20358,0
20359,1
20362,2
20363,0
20365,1
20366,3
20367,1
20370,1
20371,4
20372,2
20373,2
20374,3
20378,0
20379,0
20380,2
20382,4
20383,2
20384,5
20386,2
20387,2
20388,1
20389,4
20390,3
20392,4
20393,4
20394,3
20395,4
20397,0
20398,0
20400,5
20401,0
20402,4
20405,1
20406,2
20408,1
20409,2
20411,5
20413,2
20414,2
20416,5
20417,1
20418,2
20419,4
20421,2
20423,2
20424,3
20425,3
20427,0
20430,3
20431,3
20432,1
20433,2
20435,0
20436,3
20438,0
20439,5
20440,1
20441,3
20443,0
20444,0
20446,2
20447,5
20448,5
20449,3
20450,5
20454,1
20455,0
20457,2
20458,2
20459,1
20460,3
20461,4
20464,1
20465,3
20467,2
20472,4
20473,4
20474,1
20475,2
20476,4
20477,2
20479,0
20480,2
20482,2
20484,1
20485,5
20486,2
20487,1
20489,2
20490,2
20491,2
20493,1
20494,4
20495,2
20497,0
20498,1
20502,5
20504,3
20508,2
20510,5
20511,4
20512,0
20513,4
20515,3
20516,1
20517,2
20519,4
20520,4
20522,0
20524,3
20527,1
20528,0
20530,4
20531,4
20533,5
20534,4
20535,1
20536,3
20537,1
20539,2
20540,2
20541,2
20544,5
20545,0
20546,3
20549,3
20550,3
20553,3
20554,0
20555,3
20556,5
20558,1
20559,0
20560,2
20561,1
20563,5
20564,1
20565,0
20566,2
20567,2
20568,5
20570,2
20571,2
20572,1
20574,3
20575,0
20576,2
20577,0
20580,3
20581,3
20582,5
20584,0
20585,0
20586,1
20587,3
20589,0
20590,0
20591,1
20592,1
20595,4
20596,5
20597,3
20598,2
20599,0
20601,3
20602,1
20603,2
20605,5
20606,3
20608,0
20611,3
20612,0
20613,0
20615,1
20616,2
20617,0
20619,5
20620,5
20621,1
20622,4
20624,2
20626,0
20627,0
20628,3
20629,3
20630,3
20631,2
20633,4
20634,4
20635,3
20637,3
20638,5
20639,4
20640,4
20642,1
20643,0
20644,4
20646,3
20647,4
20648,3
20649,4
20650,5
20651,0
20652,1
20653,1
20655,0
20657,0
20658,2
20660,5
20662,0
20663,3
20664,4
20665,1
20666,3
20668,2
20670,1
20671,0
20672,4
20674,5
20676,0
20677,1
20678,4
20679,4
20680,2
20683,1
20684,0
20685,5
20686,5
20687,4
20688,3
20690,0
20691,0
20692,4
20694,4
20695,4
20696,4
20702,0
20703,0
20704,4
20705,1
20706,2
20709,3
20710,3
20712,2
20713,2
20714,5
20717,5
20718,5
20719,1
20720,2
20722,4
20723,3
20725,3
20726,2
20728,5
20730,3
20731,5
20732,0
20733,3
20734,1
20735,4
20737,1
20738,0
20739,2
20740,5
20741,0
20742,2
20745,2
20746,2
20748,3
20750,1
20751,2
20752,3
20753,4
20754,5
20756,5
20757,2
20759,4
20761,5
20762,0
20763,2
20764,3
20765,1
20766,3
20767,0
20769,4
20770,2
20771,3
20774,5
20776,3
20777,3
20779,5
20781,0
20782,5
20783,0
20785,5
20788,3
20794,5
20796,0
20798,1
20799,3
20800,5
20801,5
20802,2
20804,3
20805,3
20806,1
20807,1
20808,1
20810,2
20811,4
20812,1
20813,1
20815,2
20816,5
20818,1
20819,1
20820,0
20821,2
20822,4
20825,5
20826,3
20828,3
20831,5
20832,0
20833,5
20834,4
20835,1
20838,1
20840,4
20841,4
20842,2
20843,1
20844,2
20846,3
20847,0
20848,4
20851,2
20853,0
20854,2
20856,4
20857,0
20858,3
20860,2
20863,1
20864,1
20866,0
20867,0
20868,2
20869,4
20870,0
20871,0
20872,2
20873,4
20874,3
20876,0
20878,4
20879,4
20882,4
20884,1
20885,5
20887,2
20888,1
20889,4
20890,4
20892,1
20893,4
20894,5
20895,3
20896,3
20897,1
20898,3
20899,1
20900,5
20903,1
20904,3
20905,4
20906,2
20907,1
20908,0
20909,4
20910,2
20911,4
20915,1
20916,5
20917,2
20918,3
20921,2
20922,3
20924,2
20925,5
20926,3
20927,5
20928,3
20929,5
20930,5
20931,1
20933,2
20934,1
20935,1
20937,1
20938,5
20940,0
20941,0
20942,4
20944,1
20946,4
20947,5
20948,2
20949,2
20950,2
20952,3
20953,1
20954,4
20955,4
20958,5
20959,0
20960,3
20961,0
20962,1
20963,2
20965,2
20966,3
20968,3
20970,4
20971,0
20972,1
20974,0
20975,4
20976,0
20978,5
20980,0
20981,3
20982,4
20983,0
20984,5
20985,0
20986,0
20988,1
20989,3
20991,0
20992,0
20994,1
20995,1
20996,5
20998,2
20999,4
21000,2
21001,5
21004,0
21006,4
21007,1
21008,2
21011,3
21012,4
21013,0
21014,4
21016,5
21017,3
21018,5
21019,0
21020,5
21022,4
21024,2
21025,2
21027,2
21032,4
21034,1
21035,2
21036,0
21037,4
21038,0
21040,0
21041,3
21042,2
21043,2
21044,1
21045,4
21046,5
21047,4
21049,2
21052,5
21053,2
21054,4
21055,0
21058,3
21059,0
21060,2
21061,4
21062,1
21063,2
21064,2
21065,3
21066,3
21067,4
21069,1
21073,4
21076,0
21077,1
21078,0
21081,1
21083,4
21085,0
21086,1
21087,5
21090,2
21091,5
21092,2
21093,0
21095,5
21096,0
21097,5
21098,2
21099,3
21100,1
21101,1
21102,2
21104,3
21105,5
21106,5
21107,1
21108,1
21115,0
21118,0
21119,0
21120,1
21121,4
21123,2
21125,5
21126,5
21128,4
21129,2
21130,4
21135,1
21136,2
21137,1
21138,4
21139,5
21141,3
21142,1
21143,1
21144,2
21146,2
21148,3
21149,2
21150,5
21151,3
21152,1
21153,2
21154,1
21155,2
21156,2
21158,3
21159,3
21161,0
21162,0
21163,4
21167,1
21168,2
21169,5
21170,1
21173,0
21174,1
21175,1
21176,2
21177,5
21179,5
21182,3
21183,2
21185,1
21186,2
21187,5
21191,4
21192,4
21196,5
21197,4
21198,5
21199,0
21200,1
21201,0
21203,3
21206,5
21207,5
21209,5
21210,2
21212,5
21213,2
21214,0
21215,2
21216,0
21217,4
21220,1
21221,3
21222,2
21224,4
21225,1
21226,0
21227,4
21229,3
21230,2
21231,2
21232,3
21233,3
21234,4
21236,0
21237,4
21238,5
21239,0
21240,5
21241,1
21242,1
21243,3
21244,0
21245,4
21246,2
21247,0
21248,2
21250,5
21254,5
21255,0
21256,0
21257,3
21258,4
21259,4
21260,1
21262,0
21263,4
21266,2
21269,2
21271,3
21272,4
21274,2
21276,0
21277,4
21278,2
21279,3
21280,0
21281,5
21285,4
21286,3
21287,1
21288,2
21290,2
21291,3
21292,4
21293,3
21294,3
21296,3
21297,5
21298,3
21301,0
21302,2
21303,2
21304,2
21305,1
21306,4
21307,2
21309,3
21310,5
21311,4
21313,0
21314,2
21316,5
21317,5
21318,3
21319,3
21320,0
21325,5
21328,4
21329,2
21334,4
21336,2
21339,3
21340,0
21341,0
21342,4
21343,0
21344,5
21345,5
21347,1
21348,0
21349,0
21350,1
21352,5
21353,2
21354,1
21355,1
21356,0
21357,2
21358,5
21359,1
21360,3
21361,0
21362,5
21363,0
21364,4
21366,5
21367,3
21368,0
21369,0
21371,5
21373,5
21375,5
21376,0
21377,0
21378,4
21380,1
21381,1
21383,2
21385,0
21386,3
